dim;Iters;Tempo;ObjErro;SolutionErro
2;40;0.018213987350463867;[[66.90356039736288]];66.90994502555709
6;120;0.03800368309020996;[[29.944463780489627]];29.950888599837853
10;200;0.08587479591369629;[[13.404390583071013]];13.410814060033593
14;280;0.10828065872192383;[[6.002320887572643]];6.008741154441836
18;360;0.25359010696411133;[[2.689716245765028]];2.6961292790841025
22;440;0.2648885250091553;[[1.2072340448802898]];1.2136309263733276
26;520;0.3642706871032715;[[0.5437562884187619]];0.5501172613208791
